A,B,C,D
a3456,b2691,c525,d3715
a2198,b368,c4522,d1608
a214,b2464,c2358,d136
a4876,b2660,c3593,d4096
a4316,b2975,c3934,d2141
a3865,b2198,c3615,d3986
a4280,b1875,c3135,d2325
a4525,b2028,c4058,d2237
a2049,b2768,c3074,d1348
a1105,b2135,c186,d3310
a4802,b377,c484,d4155
a4613,b2676,c1292,d4248
a3152,b1002,c4560,d3174
a4084,b2712,c4343,d1501
a1743,b10,c3479,d491
a1754,b1167,c689,d1598
a4762,b1176,c1621,d752
a367,b1896,c3854,d4418
a4611,b1502,c236,d3612
a376,b3197,c1375,d549
a2788,b598,c3623,d3262
a4200,b1039,c2380,d776
a2321,b1432,c1449,d513
a1943,b2245,c1846,d3027
a2746,b1863,c2362,d3440
a2538,b3435,c386,d1599
a3366,b2653,c3582,d2896
a116,b109,c1162,d599
a778,b1329,c1390,d3915
a1383,b1201,c3972,d1148
a1892,b2452,c20,d692
a1262,b1673,c429,d773
a2280,b2788,c937,d2394
a1734,b1526,c2560,d2245
a1009,b3307,c4567,d262
a3067,b1466,c993,d1418
a3454,b1621,c432,d1535
a919,b1365,c433,d1939
a4519,b2081,c1529,d3034
a4292,b858,c2050,d4319
a4577,b1610,c2345,d3114
a1808,b3638,c535,d2707
a1042,b833,c593,d1516
a3386,b186,c2956,d2067
a3757,b2828,c295,d3863
a4449,b2921,c1643,d3741
a1481,b3291,c3123,d838
a4321,b1670,c755,d660
a692,b2323,c2241,d739
a3024,b1949,c1311,d3147
a4088,b2491,c1804,d4163
a952,b705,c2762,d163
a2663,b2617,c806,d2358
a3789,b2369,c4279,d567
a726,b2160,c4356,d3985
a867,b1156,c2467,d3778
a1096,b3491,c3614,d1012
a2236,b936,c3137,d2838
a3160,b1462,c2096,d2884
a4442,b3227,c4364,d4124
a3997,b713,c2249,d32
a2354,b948,c3451,d618
a225,b2366,c1111,d2533
a4748,b391,c1529,d875
a4325,b1087,c726,d3320
a4896,b3083,c443,d2883
a2539,b1595,c3169,d116
a2003,b58,c941,d1967
a2834,b2750,c4537,d2033
a292,b2514,c2302,d305
a3800,b2514,c4388,d4371
a1296,b3550,c1501,d4015
a4356,b442,c3828,d972
a2787,b1816,c4080,d4328
a248,b3204,c3167,d2336
a1431,b2887,c2046,d1658
a4490,b611,c3110,d3781
a4108,b750,c2401,d3263
a838,b3049,c1675,d2215
a1068,b2757,c1063,d463
a4146,b3139,c1794,d2214
a364,b646,c1092,d4370
a1664,b2728,c3724,d2035
a1346,b1912,c1984,d2856
a3558,b37,c2596,d3707
a4639,b479,c4347,d154
a4202,b3412,c3413,d2124
a1654,b229,c4672,d4012
a2073,b2587,c2562,d3299
a3734,b127,c4301,d4201
a2809,b790,c2945,d2416
a1698,b883,c4666,d4253
a1000,b2102,c3792,d2781
a1714,b3034,c1659,d1796
a2448,b1173,c1730,d600
a4873,b2756,c4746,d2343
a905,b2794,c2276,d2263
a2849,b818,c2441,d2794
a820,b2927,c4001,d3638
a649,b714,c1844,d1858
a2644,b3502,c2132,d415
a4101,b1667,c4655,d998
a2305,b1167,c176,d442
a4588,b2337,c2250,d3214
a411,b3465,c4746,d800
a4760,b1824,c116,d4311
a350,b3309,c2672,d2901
a4482,b772,c913,d341
a1491,b3240,c181,d1143
a4614,b2086,c1992,d1205
a4575,b1967,c1297,d3387
a45,b2277,c60,d3588
a1278,b3343,c3874,d1690
a730,b1335,c4645,d607
a4630,b2325,c4046,d4187
a1114,b593,c204,d225
a3929,b2132,c2716,d3709
a594,b3250,c1819,d3045
a2982,b1369,c3046,d3628
a247,b1576,c1638,d1490
a3783,b1102,c919,d454
a246,b1354,c2182,d1236
a4657,b3642,c2018,d1111
a3356,b3131,c1855,d737
a1764,b2796,c3455,d2865
a66,b1846,c2035,d2674
a3663,b2914,c27,d2574
a4612,b2357,c1681,d4428
a3035,b2319,c3750,d1533
a1855,b2847,c3803,d4064
a3639,b1772,c2511,d34
a876,b2071,c3137,d1036
a3242,b1507,c953,d1841
a1727,b1352,c2330,d581
a3381,b3054,c1037,d343
a2535,b159,c3808,d2371
a3914,b2298,c4658,d2753
a1202,b1072,c3411,d2148
a4856,b2583,c3008,d3808
a572,b1991,c3125,d1100
a1218,b1770,c4487,d3952
a3807,b2466,c3559,d2481
a1925,b1958,c346,d2053
a3586,b972,c3450,d1818
a3808,b68,c3860,d2738
a3643,b96,c2007,d1078
a3199,b10,c3149,d3395
a2255,b3043,c4351,d274
a1172,b1840,c1613,d2745
a2176,b2231,c1946,d2316
a1394,b905,c3929,d4320
a2631,b998,c102,d3110
a183,b1518,c2720,d742
a2888,b1677,c1109,d873
a3650,b2790,c3716,d2155
a2536,b2155,c4094,d171
a2710,b2559,c3422,d1388
a1658,b1893,c1373,d3911
a3287,b991,c2961,d1293
a3783,b604,c507,d4307
a660,b3280,c2321,d1135
a3970,b2241,c2838,d69
a30,b3664,c548,d3813
a3736,b3662,c2171,d2631
a3706,b3226,c3016,d2657
a2614,b201,c2648,d1193
a2947,b956,c4500,d2735
a2825,b1023,c2114,d3054
a4211,b1795,c4096,d3878
a3644,b1726,c136,d248
a2173,b504,c4263,d4144
a1619,b2749,c331,d1646
a4219,b2611,c2633,d168
a4744,b3086,c391,d2792
a3985,b1025,c3280,d1259
a31,b3032,c2567,d2694
a4189,b3587,c535,d2658
a4620,b2662,c2411,d230
a4745,b510,c1554,d2666
a95,b2851,c492,d1041
a3889,b1078,c3572,d4194
a1422,b2355,c3606,d1553
a3049,b3004,c521,d1318
a2469,b2319,c2537,d3289
a4756,b742,c2607,d1503
a4424,b170,c2273,d3677
a4348,b3135,c241,d3672
a3745,b1779,c1876,d1697
a2926,b1952,c2265,d927
a4177,b2821,c329,d3702
a1296,b265,c2859,d2029
a1712,b805,c3609,d85
a2242,b2330,c1778,d2472
a1304,b362,c11,d1840
a4560,b3695,c2755,d2218
a3994,b3437,c4431,d1632
a201,b1721,c296,d1605
a761,b934,c2452,d1038
a2734,b1508,c3547,d203
a3005,b105,c4632,d4187
a238,b3410,c908,d3289
a4115,b3498,c4462,d1436
a4282,b1116,c1901,d996
a4216,b1530,c3641,d3321
a464,b1660,c4528,d1609
a2238,b2730,c1877,d2529
a3696,b1528,c2119,d2144
a4680,b2088,c4325,d3132
a3886,b887,c257,d1041
a1374,b788,c1044,d2647
a3614,b1149,c3804,d2417
a2027,b2967,c2079,d2617
a2296,b3269,c3251,d4117
a867,b2039,c4025,d2160
a2251,b2324,c1488,d3566
a2689,b2786,c4612,d1764
a4134,b2140,c3170,d2018
a2133,b1097,c1352,d2764
a1716,b2966,c2404,d4076
a1018,b2682,c4201,d1344
a1624,b57,c4530,d2125
a4411,b3387,c4668,d2200
a3423,b2397,c4345,d3991
a3454,b1868,c509,d2376
a2998,b1049,c2399,d4411
a4346,b1326,c3349,d517
a3175,b449,c2674,d1004
a2802,b632,c1362,d4419
a603,b325,c166,d4124
a4877,b3527,c2070,d4094
a2508,b1106,c3193,d1782
a1835,b1809,c3295,d2120
a2011,b3379,c3441,d3657
a2723,b720,c1109,d1871
a2330,b2127,c2718,d3464
a2491,b298,c2985,d1544
a1861,b3160,c265,d3624
a714,b1437,c2749,d3069
a2295,b2533,c2345,d1971
a4637,b2130,c3678,d336
a1961,b2607,c4603,d1840
a1845,b1193,c3950,d4377
a357,b1208,c1655,d2672
a4714,b2156,c691,d1444
a1562,b295,c1359,d1882
a508,b2693,c1070,d1631
a4883,b1110,c4537,d557
a1540,b258,c4479,d2266
a3573,b2488,c323,d2719
a2656,b2965,c936,d2258
a768,b848,c30,d1643
a1639,b3224,c515,d3481
a3695,b2600,c2344,d1787
a2390,b1188,c964,d2505
a1976,b409,c4364,d344
a4188,b1713,c78,d2800
a4280,b3721,c2712,d2954
a546,b3574,c1283,d217
a4812,b395,c672,d1617
a4618,b2901,c3457,d1982
a1984,b2587,c2788,d1545
a3447,b206,c1193,d1231
a3733,b1603,c4115,d1286
a4281,b7,c530,d780
a4520,b2299,c3065,d1865
a1822,b335,c2551,d2356
a1609,b410,c433,d3584
a1368,b1646,c3193,d413
a3950,b414,c4007,d3577
a2784,b1501,c2888,d11
a895,b3677,c4290,d3879
a1920,b2796,c3412,d2904
a2583,b1999,c3734,d739
a3456,b156,c2094,d2313
a1928,b205,c3701,d940
a219,b888,c1987,d410
a3738,b1519,c219,d2687
a564,b2474,c2482,d23
a4647,b14,c2970,d2941
a78,b1776,c4120,d930
a444,b1774,c2087,d987
a2233,b975,c804,d1937
a33,b820,c1700,d3849
a692,b2483,c3952,d675
a3138,b388,c2335,d228
a2390,b3601,c2300,d3213
a2457,b583,c573,d1043
a1287,b2865,c1913,d4334
a2141,b197,c1943,d3267
a3522,b791,c3717,d4192
a2828,b3173,c4503,d3358
a2687,b89,c3376,d733
a1644,b3421,c3714,d516
a201,b1605,c2965,d2285
a2562,b2603,c310,d4308
a1671,b570,c4395,d4100
a4804,b951,c3071,d546
a4288,b3324,c1892,d4279
a1808,b1635,c2884,d1391
a4215,b1861,c1194,d4037
a2226,b2126,c124,d74
a4802,b2449,c3439,d3935
a4174,b3320,c1950,d1676
a3528,b2933,c905,d2451
a3836,b2444,c2164,d38
a52,b2324,c1721,d583
a3649,b1065,c2962,d3497
a593,b1720,c1160,d3816
a4657,b460,c4322,d2875
a486,b785,c3981,d4170
a3649,b580,c1380,d1915
a4799,b701,c1790,d3356
a4455,b474,c1569,d1521
a2085,b1655,c2659,d3657
a297,b2914,c381,d171
a990,b3300,c2466,d1003
a825,b2534,c1756,d281
a2540,b3321,c1949,d1681
a4623,b3282,c1820,d3718
a1993,b2775,c3763,d2281
a868,b3365,c3041,d4419
a4658,b1167,c4642,d2033
a4899,b350,c1076,d2613
a4548,b2991,c4124,d3056
a1904,b1213,c3,d977
a3181,b3716,c3756,d3887
a1919,b2734,c2368,d2133
a1480,b847,c102,d3734
a4210,b2125,c2487,d3420
a2241,b278,c3153,d2281
a704,b2088,c2632,d3214
a3402,b1391,c3185,d2520
a2293,b3704,c949,d822
a4695,b2042,c2386,d3101
a2208,b741,c3881,d2118
a826,b815,c370,d3684
a2487,b2751,c1810,d819
a1874,b3694,c338,d2359
a2515,b1391,c3524,d2639
a1903,b2155,c2153,d11
a4417,b2450,c3762,d2142
a2744,b798,c4352,d1763
a3149,b1284,c3035,d4436
a4536,b1050,c2045,d4071
a4107,b352,c2580,d3019
a4302,b2936,c2170,d1511
a311,b2143,c2888,d1684
a1784,b2319,c78,d1080
a1579,b3347,c3542,d2687
a2582,b3212,c2415,d3932
a4895,b2715,c2447,d3256
a2293,b3766,c1785,d3810
a1295,b3217,c3060,d1002
a318,b2402,c3456,d2314
a2475,b649,c1066,d881
a3183,b1427,c3507,d600
a1951,b2895,c3094,d2630
a2793,b1403,c4774,d2855
a4785,b2029,c3824,d3176
a1111,b1467,c2299,d139
a3761,b2578,c3490,d1511
a1909,b2324,c3348,d979
a3570,b2316,c4508,d261
a1708,b2375,c1865,d237
a331,b654,c4267,d3620
a3032,b2052,c1861,d4102
a4261,b1634,c782,d3273
a610,b3741,c2901,d614
a3462,b247,c4011,d2515
a282,b3572,c3180,d3970
a1514,b942,c3621,d3566
a4678,b1380,c783,d388
a3876,b2151,c4319,d588
a2078,b1693,c2523,d3816
a1432,b368,c2493,d431
a2570,b3004,c444,d78
a3444,b3648,c3766,d3255
a3461,b528,c3439,d1603
a1323,b1508,c4288,d3921
a616,b1807,c790,d2648
a3044,b2818,c1817,d4191
a530,b50,c3881,d3740
a4898,b3109,c2043,d4237
a1760,b679,c889,d90
a4240,b744,c303,d1522
a4255,b326,c4456,d1919
a1111,b3383,c2685,d1415
a508,b3407,c222,d95
a4176,b164,c3697,d3527
a1737,b1952,c4762,d1619
a2137,b1892,c1177,d1746
a66,b2643,c1512,d4192
a3023,b2131,c3408,d2300
a2708,b304,c4078,d3099
a1029,b451,c4063,d1628
a59,b1971,c3232,d2061
a1015,b1247,c2588,d1783
a4687,b413,c2663,d1081
a292,b3491,c2268,d4197
a1552,b1188,c548,d3265
a3203,b2090,c3947,d3146
a108,b147,c4385,d899
a3190,b1334,c286,d3396
a4832,b1474,c1890,d1475
a2328,b2399,c2392,d3641
a4499,b1667,c2558,d821
a459,b1991,c1642,d1921
a346,b3349,c2970,d2348
a3065,b2911,c647,d1577
a4866,b3110,c2609,d3303
a3748,b2031,c2796,d3401
a4088,b3093,c2135,d1456
a2149,b1744,c2153,d986
a3008,b721,c3832,d2840
a3520,b1119,c182,d1251
a1182,b1291,c1361,d588
a2982,b1486,c3702,d38
a2280,b1089,c1704,d4298
a3868,b1851,c262,d2858
a3619,b1505,c2681,d174
a2130,b2794,c2397,d3374
a4037,b2601,c59,d2252
a2545,b274,c2238,d2960
a3558,b2706,c134,d1909
a1858,b1053,c2784,d92
a2844,b2556,c2359,d3498
a2505,b3659,c555,d819
a2656,b3694,c1456,d3844
a3338,b3018,c1306,d2314
a2350,b3739,c3163,d3961
a3219,b2632,c2189,d2999
a4141,b526,c1500,d3643
a3961,b3515,c3916,d3938
a2470,b855,c1299,d2307
a1351,b3643,c1659,d1501
a3134,b479,c616,d4289
a3197,b312,c4572,d3027
a1220,b2116,c3495,d3275
a894,b2674,c3031,d2477
a2736,b3654,c2683,d2114
a3636,b949,c2608,d932
a2277,b2102,c3925,d3927
a719,b49,c1911,d1912
a3516,b2937,c1453,d1933
a4696,b2655,c662,d2121
a3654,b1545,c1638,d590
a2712,b1569,c2045,d302
a961,b361,c4173,d3081
a642,b1253,c4463,d1713
a408,b1560,c2662,d736
a2151,b409,c4093,d660
a1286,b2727,c958,d683
a480,b2961,c826,d2542
a2541,b1287,c474,d1530
a4509,b3399,c2004,d4374
a1038,b3333,c2801,d3580
a4288,b2751,c250,d404
a3140,b1921,c2322,d1520
a1877,b307,c1845,d1943
a1913,b3368,c1759,d291
a1779,b1812,c3280,d3006
a2400,b414,c4,d3611
a2401,b2618,c3454,d664
a427,b2925,c3965,d1269
a1274,b900,c1893,d1887
a1162,b1739,c2197,d696
a2629,b1188,c424,d3134
a4479,b3017,c4421,d3697
a2369,b2765,c1335,d803
a4857,b2012,c2552,d1875
a3974,b794,c3715,d2363
a1334,b3243,c4602,d494
a4652,b624,c2357,d2225
a2164,b2604,c915,d155
a1341,b2894,c2081,d3650
a2520,b2088,c1574,d2031
a4048,b364,c4512,d2244
a177,b3438,c561,d1466
a4749,b3347,c2203,d34
a3301,b850,c2323,d101
a1249,b279,c3141,d3470
a3922,b2583,c2300,d126
a1119,b2447,c2227,d413
a4592,b1639,c3718,d743
a4653,b1449,c2475,d3987
a4329,b2258,c4141,d4147
a1775,b1098,c4470,d1957
a4624,b2169,c4241,d1283
a11,b118,c1569,d857
a4032,b755,c4489,d4358
a816,b989,c553,d3696
a614,b1711,c733,d1876
a2762,b1139,c4167,d2743
a3758,b3305,c2682,d3210
a2790,b1223,c2300,d2707
a3423,b3153,c1059,d559
a4814,b360,c4406,d3487
a3894,b768,c1355,d632
a4181,b2768,c2968,d1973
a4037,b528,c948,d2963
a2547,b1406,c4033,d1055
a4198,b3744,c3584,d3173
a1054,b2909,c852,d3865
a890,b1360,c1996,d545
a1186,b3620,c15,d4261
a668,b3208,c3934,d2354
a3087,b2274,c1857,d236
a2922,b3739,c4321,d821
a4495,b3537,c1355,d1112
a1431,b885,c2211,d3861
a724,b715,c328,d887
a1656,b2376,c3394,d3383
a487,b3738,c1854,d2500
a3762,b1903,c3782,d3322
a2655,b2714,c4058,d3179
a1915,b2752,c4010,d886
a248,b3205,c2101,d4207
a218,b821,c4768,d2479
a3110,b1984,c3055,d4092
a3895,b1403,c2758,d2750
a2933,b47,c878,d2177
a1022,b3696,c2689,d3401
a3669,b2618,c1353,d1861
a2348,b1629,c1299,d1285
a2287,b1965,c1733,d3097
a2429,b2196,c2999,d3195
a3243,b2698,c83,d880
a1601,b13,c3673,d2400
a1118,b364,c366,d1694
a390,b2691,c3081,d383
a2388,b2734,c3736,d3787
a153,b1549,c1488,d2819
a1795,b2109,c3874,d1189
a4555,b2767,c3185,d560
a348,b3182,c521,d317
a4234,b2327,c1026,d1219
a4737,b3086,c990,d3636
a609,b3113,c2839,d1328
a3572,b3585,c4370,d3679
a3972,b2248,c4172,d62
a4637,b594,c3174,d2532
a1187,b2499,c1543,d2621
a1727,b2635,c507,d1472
a677,b3692,c1095,d1113
a4862,b1454,c228,d1286
a2467,b3428,c4061,d1775
a4071,b813,c883,d2548
a829,b3639,c4014,d4007
a3548,b3624,c892,d1863
a2131,b2927,c2745,d2199
a2060,b3170,c4428,d2007
a4882,b2469,c3257,d2802
a250,b99,c4144,d3990
a3878,b2294,c1652,d2385
a4248,b370,c911,d3027
a3676,b84,c1834,d2485
a4308,b2808,c4516,d3539
a1937,b3226,c2747,d692
a889,b1176,c1048,d2604
a4516,b856,c122,d2515
a1755,b3771,c890,d2035
a4611,b3069,c2090,d2057
a2087,b1308,c4466,d3347
a58,b1974,c4177,d2406
a4231,b313,c2713,d885
a695,b1844,c1312,d4300
a3318,b2522,c4295,d3521
a597,b2508,c4131,d3928
a3181,b117,c2835,d2205
a2736,b3270,c1379,d4405
a1808,b876,c3704,d2548
a653,b2371,c4103,d1895
a1720,b3398,c4149,d2449
a3819,b2649,c2228,d156
a2413,b2776,c1685,d811
a3246,b2123,c243,d2852
a681,b1447,c1812,d831
a2011,b2886,c1085,d2740
a4530,b1334,c1431,d2649
a4449,b2307,c4434,d1178
a3078,b538,c716,d1761
a3764,b3021,c4637,d3780
a336,b1125,c3646,d1612
a818,b550,c1463,d626
a2288,b801,c60,d677
a2030,b425,c2542,d1139
a2635,b702,c2233,d2663
a2129,b3754,c1935,d1712
a2207,b1505,c1752,d797
a2300,b3117,c4577,d2575
a2545,b2557,c927,d1586
a3071,b1328,c2275,d393
a3688,b416,c1800,d2328
a2748,b3586,c2508,d2843
a4492,b2335,c1778,d1648
a1293,b188,c4355,d1818
a4711,b899,c2619,d1943
a3409,b2195,c2265,d532
a435,b1973,c2628,d2947
a1069,b1870,c3632,d2443
a881,b3235,c2612,d252
a1290,b3755,c1141,d2953
a4419,b691,c4146,d666
a2062,b1360,c1254,d510
a3991,b2496,c1046,d2120
a16,b3165,c2939,d836
a1423,b863,c459,d1619
a3838,b2462,c3117,d3688
a2073,b2083,c2361,d1263
a720,b3715,c3444,d4315
a2749,b3504,c2793,d2993
a2200,b125,c1079,d2292
a3458,b3233,c1118,d1694
a2455,b3227,c1561,d2876
a3770,b2605,c3752,d2670
a357,b2231,c124,d272
a3416,b361,c3089,d3913
a2365,b3074,c3403,d577
a2993,b3367,c4027,d1339
a3855,b2684,c4105,d1747
a2612,b253,c803,d1216
a2169,b2921,c3923,d651
a590,b1977,c4177,d3162
a4578,b1056,c812,d1214
a502,b3636,c3990,d355
a2970,b2932,c3717,d1378
a2215,b3571,c2637,d2642
a3452,b3324,c471,d3612
a4206,b1772,c450,d3192
a4529,b3463,c411,d3882
a4460,b2038,c1640,d442
a2399,b3714,c1326,d2870
a1315,b2948,c4618,d3165
a571,b2031,c2034,d1539
a318,b3182,c1273,d4338
a4885,b1649,c3922,d2875
a2407,b2437,c4473,d1548
a264,b1081,c1820,d1808
a1025,b3462,c29,d4089
a141,b2816,c1266,d203
a1796,b3523,c4149,d1780
a1148,b2700,c3540,d34
a47,b598,c3066,d2865
a4557,b558,c2423,d3690
a2556,b3690,c1838,d3672
a1048,b2166,c1094,d2963
a4344,b2567,c933,d2044
a3391,b1982,c1036,d3595
a544,b1738,c294,d2868
a3267,b2254,c3335,d842
a856,b2400,c2277,d2256
a2570,b1569,c1747,d3024
a2010,b3681,c3504,d3169
a799,b1419,c4478,d3988
a1918,b3431,c1849,d3035
a4158,b1613,c4607,d4272
a4037,b2361,c3516,d647
a134,b2375,c2521,d2472
a2980,b3205,c590,d1192
a708,b620,c4160,d2891
a4728,b2899,c2220,d752
a848,b2026,c730,d2911
a64,b3610,c2298,d3225
a1051,b1647,c1479,d3189
a4739,b146,c2576,d1433
a2457,b2438,c4254,d672
a939,b931,c397,d147
a4128,b3018,c2549,d2747
a2434,b132,c1267,d692
a671,b1985,c4703,d766
a1745,b2098,c4544,d369
a401,b855,c2423,d3429
a578,b2701,c1983,d1881
a375,b733,c1257,d851
a3768,b1210,c364,d1112
a1547,b3413,c3320,d4158
a4580,b1495,c4621,d2812
a4178,b1956,c3594,d3222
a4637,b3628,c383,d4186
a4840,b1745,c203,d1229
a3097,b2681,c4385,d1375
a2859,b1841,c3378,d1782
a4448,b3689,c1451,d2041
a3068,b2375,c2137,d2211
a1263,b2453,c3624,d2231
a3089,b3159,c2742,d419
a4793,b435,c762,d3335
a517,b1599,c1455,d1327
a1140,b1900,c4711,d4367
a3856,b759,c3073,d1580
a2850,b974,c43,d1062
a2155,b3382,c1312,d939
a4529,b942,c127,d661
a3031,b3223,c2784,d2349
a3316,b1145,c810,d1108
a3026,b915,c4674,d4140
a860,b2877,c2636,d1410
a4380,b3629,c4563,d3080
a1451,b3203,c2175,d454
a446,b3730,c209,d1067
a2308,b2563,c4249,d291
a341,b3056,c3440,d4176
a12,b1914,c3628,d115
a2056,b1760,c2758,d1863
a4033,b903,c131,d4211
a116,b1853,c53,d3720
a1344,b1928,c803,d3516
a2853,b430,c3418,d2092
a4430,b3126,c3030,d3339
a1116,b1383,c4154,d644
a745,b2623,c3726,d2937
a492,b2290,c1504,d1364
a390,b2627,c2135,d1857
a1367,b2512,c4618,d3290
a4417,b1034,c752,d2728
a2812,b2125,c4543,d1338
a555,b479,c1022,d811
a3321,b13,c4326,d1471
a1833,b3023,c126,d2232
a2287,b910,c3189,d1350
a888,b3314,c1408,d596
a1776,b315,c3569,d3800
a1954,b1994,c521,d3646
a1112,b831,c2319,d3682
a2437,b2086,c2980,d637
a2239,b2003,c39,d4139
a884,b2122,c1918,d569
a1812,b1882,c4455,d1781
a4607,b579,c3502,d3207
a2007,b3466,c1226,d2362
a3749,b1280,c3422,d1748
a956,b2004,c2535,d75
a4258,b2528,c1648,d3737
a255,b920,c3503,d3423
a2099,b1995,c498,d2655
a2663,b1306,c4537,d193
a3836,b1155,c1633,d1874
a2684,b3686,c671,d1921
a4571,b2056,c1351,d2549
a559,b2449,c2000,d2660
a2777,b1023,c3975,d471
a1534,b2046,c1498,d3084
a3344,b2768,c4535,d1826
a2433,b3773,c2018,d3746
a86,b3213,c3356,d1356
a367,b1553,c2998,d4146
a3609,b2256,c3235,d1674
a1165,b3734,c2955,d1952
a4359,b2744,c3258,d1386
a4734,b830,c3425,d3098
a2631,b2751,c1216,d3467
a77,b1402,c1582,d2180
a925,b2318,c3137,d2483
a4177,b1335,c4283,d1169
a1886,b3445,c40,d823
a4554,b1910,c2875,d1560
a2464,b1257,c4764,d1911
a2227,b2211,c466,d1177
a4058,b3624,c1393,d3247
a2558,b1809,c4567,d729
a3740,b215,c1802,d2563
a4080,b1881,c2031,d4316
a4070,b903,c2774,d1448
a39,b3207,c3170,d2797
a4045,b3325,c413,d1306
a411,b1743,c3782,d4191
a4281,b2188,c3311,d3800
a4199,b1880,c1720,d1202
a1705,b3581,c3709,d988
a255,b1940,c91,d3921
a4212,b3688,c2444,d3708
a4408,b1198,c4580,d296
a1612,b1174,c2181,d750
a4570,b946,c1525,d1471
a2748,b3470,c83,d1502
a3446,b1006,c920,d461
a2424,b507,c4606,d3522
a4286,b289,c185,d1915
a587,b2066,c3184,d2777
a3370,b2286,c3172,d942
a716,b2893,c3992,d1212
a4731,b3338,c2266,d2793
a1778,b3178,c2518,d3975
a3664,b1192,c4685,d4147
a672,b321,c1140,d358
a2533,b2951,c2006,d1939
a3430,b2709,c1503,d1571
a770,b1623,c4319,d3978
a300,b989,c4749,d532
a3082,b3151,c2501,d3584
a1378,b2324,c3776,d451
a3308,b1753,c3342,d1152
a1957,b768,c3235,d766
a1729,b2359,c3409,d1379
a3208,b2328,c3738,d2697
a4663,b3178,c3852,d3686
a3873,b3512,c1804,d2573
a3873,b2589,c3939,d2784
a3784,b2386,c2355,d2217
a229,b861,c3813,d3977
a4665,b2444,c3893,d3981
a2636,b599,c1903,d2924
a1,b3373,c47,d96
a776,b3443,c1314,d2508
a577,b3115,c3518,d3063
a1558,b723,c2387,d2164
a918,b107,c3885,d456
a653,b2693,c352,d1707
a905,b915,c4434,d464
a3818,b1824,c726,d2382
a2745,b1532,c3086,d1001
a2520,b3665,c1697,d2906
a395,b1029,c4142,d1027
a2379,b1775,c3049,d3534
a1842,b3368,c2032,d1952
a438,b2311,c3655,d1502
a713,b2345,c4343,d3395
a973,b1780,c2549,d3809
a4444,b3276,c3472,d2778
a1274,b1749,c2160,d2444
a160,b1825,c1209,d84
a1668,b2398,c4333,d857
a3830,b2006,c433,d3716
a707,b2415,c4535,d4375
a3352,b2312,c4562,d3418
a2820,b1096,c4363,d2648
a1211,b3136,c3866,d767
a3064,b2916,c1807,d419
a2499,b2967,c1221,d4115
a2841,b2628,c567,d927
a738,b1188,c2367,d3664
a2719,b1596,c2944,d773
a1278,b2962,c1091,d1963
a3837,b894,c581,d2326
a1495,b2801,c2958,d1389
a799,b1333,c68,d962
a2140,b1516,c2321,d164
a1103,b1991,c691,d3767
a396,b3241,c3580,d2157
a3901,b3244,c3530,d1322
a160,b2193,c3426,d2208
a4555,b3371,c3215,d3437
a436,b3712,c2340,d1095
a4657,b729,c4072,d3535
a2846,b2167,c18,d2896
a905,b2270,c4134,d3223
a2554,b1616,c1128,d3447
a1994,b2057,c4661,d233
a2731,b1284,c1522,d3984
a536,b2171,c3914,d4110
a885,b2366,c4176,d2621
a2444,b3566,c1528,d3319
a3671,b1426,c1289,d2923
a3249,b2276,c1487,d895
a2289,b503,c3244,d2170
a454,b2921,c2507,d688
a2882,b1949,c1617,d2335
a3683,b1402,c2709,d3626
a535,b1979,c4283,d3220
a1104,b2078,c2741,d3079
a2409,b833,c480,d2238
a980,b1000,c480,d3686
a221,b3387,c1185,d1125
a4174,b2545,c3918,d2184
a622,b2264,c3360,d2633
a3596,b1540,c359,d422
a364,b1951,c2295,d3707
a3874,b1158,c3708,d972
a2833,b1572,c995,d800
a794,b3738,c3993,d1332
a75,b3046,c3611,d1622
a919,b2807,c4156,d1625
a4815,b1557,c1313,d3717
a1770,b2492,c1444,d248
a1728,b145,c787,d3914
a4465,b1812,c4418,d4242
a1119,b3727,c1636,d574
a114,b273,c2541,d2136
a923,b1576,c789,d2391
a4392,b126,c3307,d2037
a3945,b493,c2555,d1945
a660,b3464,c850,d501
a3494,b2364,c1676,d859
a2404,b551,c4502,d1398
a1088,b10,c2338,d183
a413,b219,c2294,d3340
a2680,b54,c1375,d1468
a2011,b1220,c3181,d3327
a4034,b2753,c272,d1729
a1967,b370,c2624,d2071
a1014,b1265,c3654,d2564
a748,b3016,c4541,d3831
a3712,b2414,c4629,d2103
a4034,b1374,c1114,d4311
a3166,b1193,c4660,d970
a1542,b115,c2190,d104
a3912,b1648,c3361,d4006
a332,b1642,c26,d1375
a544,b1823,c4233,d3557
a3920,b230,c2448,d940
a4845,b3081,c261,d4343
a155,b3609,c2926,d3926
a679,b703,c4423,d86
a2124,b1098,c2924,d3526
a2591,b1442,c3855,d2708
a983,b2182,c469,d1856
a2423,b3500,c4544,d3870
a3076,b3463,c1874,d3727
a3588,b567,c2556,d658
a2178,b1580,c1484,d4355
a911,b1078,c3763,d2309
a2569,b254,c3799,d3150
a4384,b1022,c3989,d424
a178,b105,c4013,d1268
a2457,b976,c1144,d4270
a1985,b3544,c256,d3729
a3676,b3465,c3632,d324
a2811,b3228,c1301,d2175
a3405,b1840,c925,d354
a2955,b358,c3624,d1719
a2002,b579,c2852,d1541
a2552,b2690,c4261,d3054
a3887,b419,c575,d3541
a3051,b3728,c3501,d2179
a136,b3703,c2554,d4069
